Fish Prize List 2020,
Place,Prize
1,   1st Place Trophy & Scheels Cooler
2,Eskimo Sting Ray 33cc 8 Inch Auger
3,Eskimo QuickFish 2
4,Barronett Radar Snow Hunting Blind
5,Eskimo Quickfish 3
6,$50 Scheels Gift Card
7,River's Edge Classic 1-Man Ladder Stand
8,$50 Mega/Holiday Gift Card
9,Scheels Tournament Fishing Combo & $25 Scheels Gift Card
10,   Aqua-Vu Micro Stealth 4.3 Revolution Underwater Camera System
11,River's Edge 18FT 2-Man Ladder Stand
12,   Ice Armor Jacket - XL
13,Moultrie A300 Game Camera 
14,   $50 Mega/Holiday Gift Card
15,ION 8 Inch Ice Auger
16,Eskimo 6 Inch Hand Auger
17,$50 Scheels Gift Card
18,Barronett Radar Backwoods Hunting Blind
19,River's Edge Big Foot XL Classic Hang-On Stand
20,   $50 Mega/Holiday Gift Card
21,Beaver Dam Bucket
22,Eskimo Pistol Bit 6 Inch Auger
23,   Tip Down Orange & Fishwell Float Livewell
24,Eskimo 8 Inch Hand Auger
25,$500 Cash
30,River's Edge Relax Wide 1-Man Ladder Stand
35,Pflueger Trion Spinning Reel
40,Scheels Outfitters Guide Inline Ice Combo 
45,   $50 Mega/Holiday Gift Card
50,   River's Edge Big Foot Traveler Hang-On Stand
55,Eskimo 8 Inch Hand Auger
60,Scheels Tournament Fishing Combo & $25 Scheels Gift Card
65,$50 Scheels Gift Card
70,Barronett Radar Backwoods Hunting Blind
75,Eskimo 7 Inch Hand Auger
80,Eskimo Quickfish 3
85,   Beaver Dam Tip Up + Tacklebag Tote System
90,   River's Edge Big Foot XC Hang-On Stand
95,$50 Scheels Gift Card
100,$1000 Cash
105,Scheels Hard Side Rod Case
110,   $50 Mega/Holiday Gift Card
115,River's Edge Classic 1-Man Ladder Stand
120,Barronett Radar Snow Hunting Blind
125,   Crossfire Binoculars - 10x50
130,$50 Scheels Gift Card
135,Eskimo Quickfish 2
140,River's Edge Deluxe 1-Man Ladder Stand
145,   $50 Mega/Holiday Gift Card
150,GPS ETREX 10
155,   Barronett Grounder 250 Bloodtrail Hunting Blind
160,Eskimo 7 Inch Hand Auger
165,$50 Scheels Gift Card
170,   Beaver Dam Tip Up + Tacklebag Tote System
175,Eskimo Mako 43cc 8 Inch Auger
180,RECONYX HYPERFIRE 2 Trail Camera
185,   $50 Mega/Holiday Gift Card
190,   Tip Down Green & Fishwell Float Livewell
195,   River's Edge Relax Wide 1-Man Ladder Stand
200,$500 Cash
205,$50 Scheels Gift Card
210,Eskimo QuickFlip 1-Man Shelter
215,   Scheels Outfitters Guide Inline Ice Combo 
220,River's Edge Big Foot XC Hang-On Stand
225,Pflueger Trion Spinning Reel
230,   $50 Mega/Holiday Gift Card
235,River's Edge Deluxe 1-Man Ladder Stand
240,$50 Scheels Gift Card
245,SKINZ IT
250,Eskimo 6 Inch Hand Auger
255,   $50 Mega/Holiday Gift Card
260,Moultrie A300 Game Camera 
265,River's Edge Big Foot XL Classic Hang-On Stand
270,   Barronett Grounder 250 Bloodtrail Hunting Blind 
275,   ION 8 Inch Ice Auger
280,Eskimo Mako 43cc 8 Inch Auger
285,River's Edge Big Foot Traveler Hang-On Stand
290,Genz Pack FL 8SE Flasher System
295,   Scheels Rectangular Bag & Shimano Sienna Combo
300,Eskimo Quickflip 2-Man Shelter
