Raffle Prize List 2021,
Place,Prize
1,2020 Polaris Sportsman 570 ATV
2,$500 Scheels Gift Card
3,$500 Scheels Gift Card
4,$500 Scheels Gift Card
5,$500 Scheels Gift Card
6,$25 The View GC + Eau Claire Express Baseball Tickets
7,Free weekend camper rental from Chippewa Valley RV ($450 value)
8,$10 Scheels Gift Card + Monster Energy Retro Boombox
9,$25 Wissota Lodge Gift Card + RTIC Mug
10,$25 SandBar Gift Card + RTIC Mug
11,$25 The Edge Gift Card + Monster Energy Package
12,$25 Wissota Lodge Gift Card + RTIC Mug
13,Autographed Packer Football
14,$50 Mega CO-OP Gift Card
15,$25 The Edge Gift Card + UW-EC Football Package
16,$25 SandBar Gift Card + Visit Eau Claire Basket
17,$25 The Edge Gift Card + UW-EC Football Package
18,$25 Wissota Lodge Gift Card + Monster Energy Package
19,$25 The View Gift Card + Jig's Up Cap
20,$25 The Edge Gift Card + RTIC Mug
21,$100 Wissota Lodge Gift Certificate
